"id","SR_Code","SR_Name","SR_Name_MMR","modifiled_by","modifiled_on","active","created_at","updated_at"
"1","MMR001","Kachin","ကချင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"2","MMR002","Kayah","ကယား",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"3","MMR003","Kayin","ကရင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"4","MMR004","Chin","ချင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"5","MMR005","Sagaing","စစ်ကိုင်း",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"6","MMR006","Tanintharyi","တနင်္သာရီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"7","MMR007","Bago (East)","ပဲခူး(အရှေ့)",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"8","MMR008","Bago (West)","ပဲခူး(အနောက်)",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"9","MMR009","Magway","မကွေး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"10","MMR010","Mandalay","မန္တလေး",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"11","MMR011","Mon","မွန်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"12","MMR012","Rakhine","ရခိုင်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"13","MMR013","Yangon","ရန်ကုန်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"14","MMR014","Shan (South)","ရှမ်း(တောင်)",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"15","MMR015","Shan (North)","ရှမ်း(မြောက်)",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"16","MMR016","Shan (East)","ရှမ်း(အရှေ့)",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"17","MMR017","Ayeyarwady","ဧရာ၀တီ",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
"18","MMR018","Naypyitaw","နေပြည်တော်",NULL,NULL,"1","2022-09-22 11:23:00","2022-09-22 11:23:00"
